"","setdiff(Orig$V1, remain$V1)"
"1020","testassemblies3127"
"1021","testassemblies3128"
"1022","testassemblies3130"
"1023","testassemblies3131"
"1024","testassemblies3132"
"1025","testassemblies3133"
"1026","testassemblies3134"
"1027","testassemblies3137"
"1028","testassemblies3138"
"1029","testassemblies3139"
"1030","testassemblies3140"
"1031","testassemblies3141"
"1032","testassemblies3142"
"1033","testassemblies3145"
"1034","testassemblies3146"
"1035","testassemblies3147"
"1036","testassemblies3149"
"1037","testassemblies3150"
"1038","testassemblies3153"
"1039","testassemblies3154"
"1040","testassemblies3155"
"1041","testassemblies3156"
"1042","testassemblies3157"
"1043","testassemblies3164"
"1044","testassemblies3165"
"1045","testassemblies3166"
"1046","testassemblies3168"
"1047","testassemblies3169"
"1048","testassemblies3170"
"1049","testassemblies3171"
"1050","testassemblies3172"
"1051","testassemblies3173"
"1052","testassemblies3174"
"1053","testassemblies3178"
"1054","testassemblies3179"
"1055","testassemblies3183"
"1056","testassemblies3184"
"1057","testassemblies3187"
"1058","testassemblies3188"
"1059","testassemblies3189"
"1060","testassemblies3190"
"1061","testassemblies3191"
"1062","testassemblies3192"
"1063","testassemblies3193"
"1064","testassemblies3196"
"1065","testassemblies3197"
"1066","testassemblies3198"
"1067","testassemblies3199"
"1068","testassemblies3200"
"1069","testassemblies3201"
"1070","testassemblies3202"
"1071","testassemblies3204"
"1072","testassemblies3205"
"1073","testassemblies3206"
"1074","testassemblies3207"
"1075","testassemblies3208"
"1076","testassemblies3209"
"1077","testassemblies3210"
"1078","testassemblies3211"
"1079","testassemblies3217"
"1080","testassemblies3218"
"1081","testassemblies3219"
"1082","testassemblies3220"
"1083","testassemblies3228"
"1084","testassemblies3229"
"1085","testassemblies3230"
"1086","testassemblies3233"
"1087","testassemblies3234"
"1088","testassemblies3235"
"1089","testassemblies3236"
"1090","testassemblies3238"
"1091","testassemblies3239"
"1092","testassemblies3240"
"1093","testassemblies3241"
"1094","testassemblies3243"
"1095","testassemblies3244"
"1096","testassemblies3245"
"1097","testassemblies3246"
"1098","testassemblies3247"
"1099","testassemblies3252"
