"","setdiff(Orig$V1, remain$V1)"
"964","testassemblies1320"
"965","testassemblies1321"
"966","testassemblies1322"
"967","testassemblies1323"
"968","testassemblies1324"
"969","testassemblies1325"
"970","testassemblies1326"
"971","testassemblies1327"
"972","testassemblies1328"
"973","testassemblies1329"
"974","testassemblies1330"
"975","testassemblies1331"
"976","testassemblies1332"
"977","testassemblies1333"
"978","testassemblies1334"
"979","testassemblies1335"
"980","testassemblies1336"
"981","testassemblies1337"
"982","testassemblies1338"
"983","testassemblies1339"
"984","testassemblies1340"
"985","testassemblies1341"
"986","testassemblies1342"
"987","testassemblies1343"
"988","testassemblies1344"
"989","testassemblies1345"
"990","testassemblies1346"
"991","testassemblies1347"
"992","testassemblies1348"
"993","testassemblies1349"
"994","testassemblies1350"
"995","testassemblies1351"
"996","testassemblies1352"
"997","testassemblies1353"
"998","testassemblies1354"
"999","testassemblies1355"
"1000","testassemblies1356"
"1001","testassemblies1357"
"1002","testassemblies1362"
"1003","testassemblies1363"
"1004","testassemblies1364"
"1005","testassemblies1365"
"1006","testassemblies1366"
"1007","testassemblies1367"
"1008","testassemblies1368"
"1009","testassemblies1369"
"1010","testassemblies1370"
"1011","testassemblies1371"
"1012","testassemblies1372"
"1013","testassemblies1373"
"1014","testassemblies1374"
"1015","testassemblies1375"
"1016","testassemblies1376"
"1017","testassemblies1377"
"1018","testassemblies1378"
"1019","testassemblies1379"
"1020","testassemblies1386"
"1021","testassemblies1390"
"1022","testassemblies1391"
"1023","testassemblies1392"
"1024","testassemblies1393"
"1025","testassemblies1395"
"1026","testassemblies1396"
"1027","testassemblies1398"
"1028","testassemblies1399"
"1029","testassemblies1400"
"1030","testassemblies1401"
"1031","testassemblies1402"
"1032","testassemblies1403"
"1033","testassemblies1404"
"1034","testassemblies1405"
"1035","testassemblies1406"
"1036","testassemblies1407"
"1037","testassemblies1408"
"1038","testassemblies1409"
"1039","testassemblies1410"
"1040","testassemblies1411"
"1041","testassemblies1412"
"1042","testassemblies1413"
"1043","testassemblies1414"
